,mutation_base,mutation_reference,mutation_n_comps,use_archive,crossover,adaptation_method,lpsr
225,best,,2,True,exp,shade,False
226,best,,2,True,exp,jDE,True
227,best,,2,True,exp,jDE,False
228,best,,2,False,bin,,True
229,best,,2,False,bin,,False
230,best,,2,False,bin,shade,True
231,best,,2,False,bin,shade,False
232,best,,2,False,bin,jDE,True
233,best,,2,False,bin,jDE,False
234,best,,2,False,exp,,True
235,best,,2,False,exp,,False
236,best,,2,False,exp,shade,True
237,best,,2,False,exp,shade,False
238,best,,2,False,exp,jDE,True
239,best,,2,False,exp,jDE,False
240,best,pbest,1,True,bin,,True
241,best,pbest,1,True,bin,,False
242,best,pbest,1,True,bin,shade,True
243,best,pbest,1,True,bin,shade,False
244,best,pbest,1,True,bin,jDE,True
245,best,pbest,1,True,bin,jDE,False
246,best,pbest,1,True,exp,,True
247,best,pbest,1,True,exp,,False
248,best,pbest,1,True,exp,shade,True
249,best,pbest,1,True,exp,shade,False
250,best,pbest,1,True,exp,jDE,True
251,best,pbest,1,True,exp,jDE,False
252,best,pbest,1,False,bin,,True
253,best,pbest,1,False,bin,,False
254,best,pbest,1,False,bin,shade,True
255,best,pbest,1,False,bin,shade,False
256,best,pbest,1,False,bin,jDE,True
257,best,pbest,1,False,bin,jDE,False
258,best,pbest,1,False,exp,,True
259,best,pbest,1,False,exp,,False
260,best,pbest,1,False,exp,shade,True
261,best,pbest,1,False,exp,shade,False
262,best,pbest,1,False,exp,jDE,True
263,best,pbest,1,False,exp,jDE,False
264,best,pbest,2,True,bin,,True
265,best,pbest,2,True,bin,,False
266,best,pbest,2,True,bin,shade,True
267,best,pbest,2,True,bin,shade,False
268,best,pbest,2,True,bin,jDE,True
269,best,pbest,2,True,bin,jDE,False
270,best,pbest,2,True,exp,,True
271,best,pbest,2,True,exp,,False
272,best,pbest,2,True,exp,shade,True
273,best,pbest,2,True,exp,shade,False
274,best,pbest,2,True,exp,jDE,True
275,best,pbest,2,True,exp,jDE,False
276,best,pbest,2,False,bin,,True
277,best,pbest,2,False,bin,,False
278,best,pbest,2,False,bin,shade,True
279,best,pbest,2,False,bin,shade,False
280,best,pbest,2,False,bin,jDE,True
281,best,pbest,2,False,bin,jDE,False
282,best,pbest,2,False,exp,,True
283,best,pbest,2,False,exp,,False
284,best,pbest,2,False,exp,shade,True
285,best,pbest,2,False,exp,shade,False
286,best,pbest,2,False,exp,jDE,True
287,best,pbest,2,False,exp,jDE,False
288,best,best,1,True,bin,,True
289,best,best,1,True,bin,,False
290,best,best,1,True,bin,shade,True
291,best,best,1,True,bin,shade,False
292,best,best,1,True,bin,jDE,True
293,best,best,1,True,bin,jDE,False
294,best,best,1,True,exp,,True
295,best,best,1,True,exp,,False
296,best,best,1,True,exp,shade,True
297,best,best,1,True,exp,shade,False
298,best,best,1,True,exp,jDE,True
299,best,best,1,True,exp,jDE,False
300,best,best,1,False,bin,,True
301,best,best,1,False,bin,,False
302,best,best,1,False,bin,shade,True
303,best,best,1,False,bin,shade,False
304,best,best,1,False,bin,jDE,True
305,best,best,1,False,bin,jDE,False
306,best,best,1,False,exp,,True
307,best,best,1,False,exp,,False
308,best,best,1,False,exp,shade,True
309,best,best,1,False,exp,shade,False
310,best,best,1,False,exp,jDE,True
311,best,best,1,False,exp,jDE,False
312,best,best,2,True,bin,,True
313,best,best,2,True,bin,,False
314,best,best,2,True,bin,shade,True
315,best,best,2,True,bin,shade,False
316,best,best,2,True,bin,jDE,True
317,best,best,2,True,bin,jDE,False
318,best,best,2,True,exp,,True
319,best,best,2,True,exp,,False
320,best,best,2,True,exp,shade,True
321,best,best,2,True,exp,shade,False
322,best,best,2,True,exp,jDE,True
323,best,best,2,True,exp,jDE,False
324,best,best,2,False,bin,,True
325,best,best,2,False,bin,,False
326,best,best,2,False,bin,shade,True
327,best,best,2,False,bin,shade,False
328,best,best,2,False,bin,jDE,True
329,best,best,2,False,bin,jDE,False
330,best,best,2,False,exp,,True
331,best,best,2,False,exp,,False
332,best,best,2,False,exp,shade,True
333,best,best,2,False,exp,shade,False
334,best,best,2,False,exp,jDE,True
335,best,best,2,False,exp,jDE,False
336,best,rand,1,True,bin,,True
337,best,rand,1,True,bin,,False
338,best,rand,1,True,bin,shade,True
339,best,rand,1,True,bin,shade,False
340,best,rand,1,True,bin,jDE,True
341,best,rand,1,True,bin,jDE,False
342,best,rand,1,True,exp,,True
343,best,rand,1,True,exp,,False
344,best,rand,1,True,exp,shade,True
345,best,rand,1,True,exp,shade,False
346,best,rand,1,True,exp,jDE,True
347,best,rand,1,True,exp,jDE,False
348,best,rand,1,False,bin,,True
349,best,rand,1,False,bin,,False
350,best,rand,1,False,bin,shade,True
351,best,rand,1,False,bin,shade,False
352,best,rand,1,False,bin,jDE,True
353,best,rand,1,False,bin,jDE,False
354,best,rand,1,False,exp,,True
355,best,rand,1,False,exp,,False
356,best,rand,1,False,exp,shade,True
357,best,rand,1,False,exp,shade,False
358,best,rand,1,False,exp,jDE,True
359,best,rand,1,False,exp,jDE,False
360,best,rand,2,True,bin,,True
361,best,rand,2,True,bin,,False
362,best,rand,2,True,bin,shade,True
363,best,rand,2,True,bin,shade,False
364,best,rand,2,True,bin,jDE,True
365,best,rand,2,True,bin,jDE,False
366,best,rand,2,True,exp,,True
367,best,rand,2,True,exp,,False
368,best,rand,2,True,exp,shade,True
369,best,rand,2,True,exp,shade,False
370,best,rand,2,True,exp,jDE,True
371,best,rand,2,True,exp,jDE,False
